Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Tata Curvv Accomplished Plus A Hyperion,https://www.cardekho.com/used-car-details/used-Tata-curvv-accomplished-plus-a-hyperion-cars-Kolkata_c1113c36-a11c-4c87-9730-381c5db0b7a4.htm,13.75L,2024,"5,600 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 6k km — history looks solid on this Curvv.
2 year old, only 6k km — near-new in every sense.
Read full report",₹13.75 Lakh,"5,600 km
Below avg","EMI from ₹34,128/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_10fd1f05-b63e-4a53-b56d-fd467268ed8c.htm,2.45L,2015,"45,233 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — history looks clear on this Wagon R.
Comprehensive insurance — valid till April 2027.
Read full report",₹2.45 Lakh,"45,233 km","EMI from ₹19,850/mo",Petrol,Manual,1st Owner
Hyundai Santro Sportz BSIV,https://www.cardekho.com/used-car-details/used-Hyundai-santro-sportz-bsiv-cars-Kolkata_47c01548-ce12-44dd-a1b0-2203fe9ad666.htm?adId=32944&adType=41,3.05L,2019,"30,000 kms",Petrol,Manual,"Sector III, Bidhannagar, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident, 30k km — records look solid on this Santro.
Simple to run, easy to park.
Read full report",₹3.05 Lakh,"30,000 km","EMI from ₹7,571/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_c1446947-02fa-4c68-8e54-96e07884fe04.htm,1.50L,2012,"30,000 kms",Petrol,Manual,Kolkata,"AI Expert
GREAT PRICE
1st owner, 30k km — history is clear on this Alto K10.
Only 30k km — lower than 80% of similar Alto K10s on CarDekho.
Read full report",₹1.50 Lakh,"30,000 km
Below avg",,Petrol,Manual,1st Owner
Ford Ecosport 1.5 Diesel Ambiente BSIV,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-diesel-ambiente-bsiv-cars-Kolkata_2730b912-c6b1-49ef-9075-9f4458f91f52.htm,3.40L,2017,"47,527 kms",Diesel,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 48k km — ownership is clean on this Ecosport.
Ford exited India in 2021 — verify parts availability first.
Read full report",₹3.40 Lakh,"47,527 km","EMI from ₹10,533/mo",Diesel,Manual,1st Owner
Honda City VX MT,https://www.cardekho.com/buy-used-car-details/used-Honda-city-vx-mt-cars-Kolkata_8940feed-fff3-41f4-9280-5ed0f01d537f.htm,7.76L,2022,"28,431 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 28k km — history looks solid on this City.
300-point inspection done. Warranty included.
Read full report",₹7.76 Lakh,"28,431 km
Below avg","EMI from ₹19,250/mo",Petrol,Manual,1st Owner
Jeep Meridian Limited Opt AT 4x4 BSVI,https://www.cardekho.com/used-car-details/used-Jeep-meridian-limited-opt-at-4x4-bsvi-cars-Kolkata_ef942e41-6366-428e-96e3-421d1385abd4.htm?adId=33119&adType=41,28L,2023,"50,000 kms",Diesel,Automatic,"Elliot Road, Kolkata","AI Expert
FAIR PRICE
2nd owner, 50k km — papers are clean on this Meridian.
Read the full verdict before you decide.
Read full report",₹28 Lakh,"50,000 km","EMI from ₹69,497/mo",Diesel,Automatic,2nd Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_80567d4d-603e-495e-acee-77812b176c04.htm,2.15L,2012,"55,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
BELOW MARKET
1st owner, 55k km — key checks pass on this Swift.
Simple to run, easy to park.
Read full report",₹2.15 Lakh,"55,000 km",,Petrol,Manual,1st Owner
Jeep Compass 2.0 Limited Opt Diesel BSVI,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-opt-diesel-bsvi-cars-Kolkata_adec372b-7af0-45e3-ac59-1ed2dd8e4c3c.htm,10.50L,2021,"1,15,000 kms",Diesel,Manual,Kolkata,"AI Expert
GREAT PRICE
2nd owner, 115k km, no accident — key checks pass on this Compass.
Jeep Compass brings genuine off-road capability to the SUV space.
Read full report",₹10.50 Lakh,"1,15,000 km","EMI from ₹26,062/mo",Diesel,Manual,2nd Owner
Hyundai Alcazar Platinum 7-Seater Diesel BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-platinum-7-seater-diesel-bsvi-cars-Kolkata_6555b506-77df-4823-a23a-0716d06726ab.htm,12L,2021,"70,000 kms",Diesel,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
2nd owner, 70k km — key checks pass on this Alcazar.
Hyundai has a wide service network across India.
Read full report",₹12 Lakh,"70,000 km","EMI from ₹29,785/mo",Diesel,Manual,2nd Owner
MG Hector Sharp DCT,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-Kolkata_ffc47d5d-a9c8-4d6d-a6a4-d30ba3e0f437.htm?adId=29723&adType=41,8.65L,2019,"65,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 65k km — ownership is clean on this Hector.
Read the full verdict before you decide.
Read full report",₹8.65 Lakh,"65,000 km","EMI from ₹21,470/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Vitara Brezza LDi,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-ldi-cars-Kolkata_879c996d-ff70-4d7a-a2ac-33bca9340ee4.htm,3.90L,2019,"1,09,270 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 109k km on this Vitara Brezza — documents look solid.
Comprehensive insurance — valid till June 2027.
Read full report",₹3.90 Lakh,"1,09,270 km","EMI from ₹9,680/mo",Diesel,Manual,2nd Owner
Volkswagen Jetta 1.4 TSI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-jetta-14-tsi-comfortline-cars-Kolkata_13c6eb58-d3d5-4c39-a3eb-bdec36b2608d.htm,3.75L,2016,"65,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
2nd owner, 65k km — history looks solid on this Jetta.
Registered in October — full year's depreciation benefit for less usage.
Read full report",₹3.75 Lakh,"65,000 km","EMI from ₹16,285/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Wagon R VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-cars-Kolkata_f0b8ebb8-8776-4198-b0e8-f8759b9e1eea.htm,2.79L,2015,"44,094 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 44k km — documents are clear on this Wagon R.
Comprehensive insurance — valid till March 2027.
Read full report",₹2.79 Lakh,"44,094 km","EMI from ₹22,605/mo",Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_20c09643-b9e6-4261-b96d-f55d96cb5bc4.htm?adId=32987&adType=41,2.25L,2018,"44,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 44k km — history looks solid on this Alto 800.
Simple to run, easy to park.
Read full report",₹2.25 Lakh,"44,000 km","EMI from ₹5,585/mo",Petrol,Manual,1st Owner
Kia Syros HTX Plus Opt Turbo DCT,https://www.cardekho.com/used-car-details/used-Kia-syros-htx-plus-opt-turbo-dct-cars-Kolkata_9fc2ee61-0205-4108-94ea-c3d7b9b4c154.htm,13.65L,2025,"10,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 10k km, verified on this 2025 Kia Syros.
1 year old, only 10k km — near-new in every sense.
Read full report",₹13.65 Lakh,"10,000 km
Below avg","EMI from ₹33,880/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Swift VVT VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vvt-vxi-cars-Kolkata_950c0d2e-186b-414b-9446-132277b4f93b.htm,2.49L,2014,"45,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 45k km — history is traceable on this Swift.
Maruti service is available in almost every city and town.
Read full report",₹2.49 Lakh,"45,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Baleno Alpha Diesel,https://www.cardekho.com/used-car-details/used-Maruti-baleno-alpha-diesel-cars-Kolkata_66aac7a6-4d69-463b-8503-f2878c30e3f6.htm,5.67L,2020,"58,720 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 59k km — records look solid on this Baleno.
Comprehensive insurance — valid till February 2027.
Read full report",₹5.67 Lakh,"58,720 km","EMI from ₹14,074/mo",Diesel,Manual,1st Owner
Volkswagen Polo Diesel Comfortline 1.2L,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-diesel-comfortline-12l-cars-Kolkata_113d3c37-7fbe-45da-ba12-3e3e3d3b297c.htm?adId=33060&adType=41,2.25L,2014,"53,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 53k km — history looks traceable on this Polo.
Simple to run, easy to park.
Read full report",₹2.25 Lakh,"53,000 km",,Diesel,Manual,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Tata Nexon EV Fearless LR,https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-fearless-lr-cars-Kolkata_55eb1b9a-1e67-421a-ac15-5689d8e0dd48.htm,9.85L,2023,"25,000 kms",Electric,Automatic,"Ghose Bagan, Kolkata","AI Expert
GREAT PRICE
1st owner, 25k km — ownership is clean on this Nexon EV.
Tata EVs have near-zero running costs for daily city use.
Read full report",₹9.85 Lakh,"25,000 km
Below avg","EMI from ₹24,448/mo",Electric,Automatic,1st Owner
Hyundai Venue SX BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-bsvi-cars-Kolkata_fb9ab38e-1a3a-45e5-a4dd-507679c2d723.htm,7.75L,2023,"7,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
BELOW MARKET
1st owner, 7k km — records look solid on this Venue.
Only 7k km — lower than 96% of similar Venues on CarDekho.
Read full report",₹7.75 Lakh,"7,000 km
Below avg","EMI from ₹19,239/mo",Petrol,Manual,1st Owner
Maruti Suzuki Wagon R VXI 1.2,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-12-cars-Kolkata_d8c70599-5ad0-4225-b38a-e7f514e40768.htm,2.53L,2016,"72,165 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
BELOW MARKET
2nd owner, 72k km — key checks pass on this Wagon R.
Comprehensive insurance — valid till May 2027.
Read full report",₹2.53 Lakh,"72,165 km","EMI from ₹10,987/mo",Petrol,Manual,2nd Owner
Kia Sonet HTK Plus,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-cars-Kolkata_cd0561e5-9d63-4b6c-9f42-304370b2c1fb.htm?adId=32941&adType=41,7.25L,2023,"30,000 kms",Petrol,Manual,"Haltu, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km — history looks solid on this Sonet.
Simple to run, easy to park.
Read full report",₹7.25 Lakh,"30,000 km
Below avg","EMI from ₹17,995/mo",Petrol,Manual,1st Owner
Honda New Accord 2.4 M/T,https://www.cardekho.com/used-car-details/used-Honda-new-accord-24-mt-cars-Kolkata_01b44c97-8977-4d18-a6e3-e9158af917b1.htm,2.97L,2012,"49,000 kms",Petrol,Manual,"Sarat Bose Road, Kolkata","AI Expert
GREAT PRICE
1st owner, 49k km — records look solid on this New Accord.
Honda engines are known to last well over high km.
Read full report",₹2.97 Lakh,"49,000 km
Below avg",,Petrol,Manual,1st Owner
Hyundai Creta S BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-creta-s-bsvi-cars-Kolkata_cf33e09f-5b0d-4717-9008-62a9f72d5a8b.htm,7.50L,2021,"50,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
BELOW MARKET
1st owner, 50k km — papers are clean on this Creta.
Hyundai has a wide service network across India.
Read full report",₹7.50 Lakh,"50,000 km","EMI from ₹18,616/mo",Petrol,Manual,1st Owner
Hyundai Verna VTVT 1.6 SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-vtvt-16-sx-cars-Kolkata_8c0bb3d6-85c2-4bfa-ace5-beaf34de51fb.htm,5.35L,2019,"55,000 kms",Petrol,Manual,"Rash Behari Avenue, Kolkata","AI Expert
BELOW MARKET
1st owner, 55k km — papers are clean on this Verna.
Hyundai has a wide service network across India.
Read full report",₹5.35 Lakh,"55,000 km","EMI from ₹13,279/mo",Petrol,Manual,1st Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 Nios Asta,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-nios-asta-cars-Kolkata_737c4b8b-d8d2-4f28-bf86-60d1009c822d.htm,5.99L,2024,"16,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 16k km — history looks solid on this Grand i10 Nios.
2 year old, only 16k km — near-new in every sense.
Read full report",₹5.99 Lakh,"16,000 km
Below avg","EMI from ₹14,868/mo",Petrol,Manual,1st Owner
Mahindra TUV 300 T8,https://www.cardekho.com/used-car-details/used-Mahindra-tuv-300-t8-cars-Kolkata_ab1db2dd-b332-41c1-b067-86357c67bb31.htm,4.75L,2016,"54,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
2nd owner, 54k km on this TUV 300 — documents are clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹4.75 Lakh,"54,000 km","EMI from ₹20,627/mo",Diesel,Manual,2nd Owner
Hyundai Creta S Plus Knight,https://www.cardekho.com/used-car-details/used-Hyundai-creta-s-plus-knight-cars-Kolkata_e098b4f2-2c7f-4a4a-9db9-7f3cebabd76d.htm,10.49L,2023,"12,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
GREAT PRICE
2nd owner, 12k km — papers are clean on this Creta.
Price dropped ₹50k — now at ₹10.5L.
Read full report",₹10.49 Lakh,"12,000 km
Below avg","EMI from ₹26,037/mo",Petrol,Manual,2nd Owner
Volkswagen Polo Diesel Comfortline 1.2L,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-diesel-comfortline-12l-cars-Kolkata_113d3c37-7fbe-45da-ba12-3e3e3d3b297c.htm?adId=33060&adType=41,2.25L,2014,"53,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 53k km — history looks traceable on this Polo.
Simple to run, easy to park.
Read full report",₹2.25 Lakh,"53,000 km",,Diesel,Manual,1st Owner
Maruti Suzuki Wagon R VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-cars-Kolkata_598499c5-e685-4d2b-ace8-4411fc4ea482.htm,3.09L,2018,"42,603 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 43k km — papers are clean on this Wagon R.
300-point inspection done. Warranty included.
Read full report",₹3.09 Lakh,"42,603 km","EMI from ₹7,673/mo",Petrol,Manual,1st Owner
Jeep Meridian Limited Opt AT BSVI,https://www.cardekho.com/used-car-details/used-Jeep-meridian-limited-opt-at-bsvi-cars-Kolkata_7705818a-2df4-4416-9ce9-fa163c46ee7f.htm,20L,2022,"35,000 kms",Diesel,Automatic,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 35k km, no accident on this Meridian — papers are clean.
₹1.5L below what similar Meridians sell for.
Read full report",₹20 Lakh,"35,000 km
Below avg","EMI from ₹49,641/mo",Diesel,Automatic,1st Owner
Hyundai Venue SX Opt Turbo iMT BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-opt-turbo-imt-bsvi-cars-Kolkata_51f8f814-b24d-4d0d-890d-a182433ebc25.htm,8.25L,2023,"29,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 29k km — history looks solid on this Venue.
Hyundai has a wide service network across India.
Read full report",₹8.25 Lakh,"29,000 km
Below avg","EMI from ₹20,477/mo",Petrol,Manual,1st Owner
Maruti Suzuki Ciaz Zeta BSVI,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-zeta-bsvi-cars-Kolkata_ca0da6bb-88e3-4b11-9b63-394a7894dada.htm?adId=32864&adType=41,4L,2021,"70,000 kms",Petrol,Manual,"Regent Park, Kolkata","AI Expert
BELOW MARKET
1st owner, no accident, 70k km — papers are clean on this Ciaz.
₹1.1L below what similar Ciazs sell for.
Read full report",₹4 Lakh,"70,000 km","EMI from ₹9,929/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-cars-Kolkata_11bc42c7-0883-4903-8509-307aa2c629e8.htm,2.49L,2014,"58,107 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
BELOW MARKET
2nd owner, 58k km — papers are clean on this Swift.
300-point inspection done. Warranty included.
Read full report",₹2.49 Lakh,"58,107 km",,Petrol,Manual,2nd Owner
Hyundai Venue SX BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-bsvi-cars-Kolkata_ec70fc42-726f-42c5-9671-07a74c5f08e8.htm,7.25L,2022,"45,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — records look solid on this Venue.
Hyundai has a wide service network across India.
Read full report",₹7.25 Lakh,"45,000 km","EMI from ₹17,995/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno Zeta CVT,https://www.cardekho.com/used-car-details/used-Maruti-baleno-zeta-cvt-cars-Kolkata_519cee6f-41e1-4bba-bc1f-e069458e6ace.htm,5.10L,2020,"30,000 kms",Petrol,Automatic,"Unnamed Road, Jodthbhim, Newtown, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km, no tampering — records look solid on this Baleno.
Maruti service is available in almost every city and town.
Read full report",₹5.10 Lakh,"30,000 km
Below avg","EMI from ₹12,659/mo",Petrol,Automatic,1st Owner
Mercedes-Benz E-Class E200 Edition E,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-e200-edition-e-cars-Kolkata_73cb6908-ec97-4ea7-8c3e-c6ed1bb470eb.htm?adId=32414&adType=41,19.25L,2017,"51,089 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 51k km — history is traceable on this E-Class.
Mercedes feel at used-car pricing — badge, cabin, tech.
Read full report",₹19.25 Lakh,"51,089 km","EMI from ₹59,635/mo",Petrol,Automatic,1st Owner
Kia Sonet GTX Plus Turbo iMT BSVI,https://www.cardekho.com/used-car-details/used-Kia-sonet-gtx-plus-turbo-imt-bsvi-cars-Kolkata_465b4af5-cf83-4ee7-9c77-7ae429ae68b2.htm,7.98L,2021,"40,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 40k km — history is traceable on this Sonet.
Kia is known for a feature-rich cabin at a competitive price.
Read full report",₹7.98 Lakh,"40,000 km","EMI from ₹19,807/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 Sportz,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-sportz-cars-Kolkata_0fcd3627-ac07-4b37-90d9-959462cc99ad.htm,2.90L,2016,"41,363 kms",Petrol,Manual,"Beleghata, Kolkata","AI Expert
GREAT PRICE
2nd owner, 41k km — key checks pass on this Grand i10.
Hyundai has a wide service network across India.
Read full report",₹2.90 Lakh,"41,363 km
Below avg","EMI from ₹12,594/mo",Petrol,Manual,2nd Owner
Jeep Compass 1.4 Sport BSVI,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-sport-bsvi-cars-Kolkata_99a6d3ed-202d-49bb-a0c4-223c23eea1a9.htm,10.89L,2022,"38,000 kms",Petrol,Manual,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — ownership is clean on this Compass.
Jeep Compass brings genuine off-road capability to the SUV space.
Read full report",₹10.89 Lakh,"38,000 km","EMI from ₹27,030/mo",Petrol,Manual,1st Owner
